stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps,confidence,median_submap_residual_m,median_wall_residual_m,valid_correspondence_count,alignment_ready,imu_initialized,best_effort_init
1774771456,830905852,1.137927,-0.208457,-0.192843,-0.084502,0.031978,-0.001113,high,0.0027205854034847684,0.2952516088968633,58,1,1,0
1774771456,906900959,1.130590,-0.214152,-0.217391,-0.084104,0.030426,-0.000067,high,0.005098582656938336,0.31693340925901825,57,1,1,0
1774771456,960764610,1.131164,-0.214816,-0.201970,-0.084119,0.028417,-0.000403,high,0.008511167688266834,0.2818529755832646,56,1,1,0
1774771457,36424197,1.133410,-0.209925,-0.193079,-0.084704,0.026484,-0.000571,high,0.006894990910458925,0.3309917174249143,58,1,1,0
1774771457,112701710,1.135194,-0.208457,-0.189748,-0.085458,0.026880,-0.000158,high,0.004787095252464285,0.2878874114167559,57,1,1,0
1774771457,189214240,1.139360,-0.208652,-0.177644,-0.085787,0.029491,0.000365,high,0.004741572352514772,0.2567545449176635,57,1,1,0
1774771457,266177063,1.141634,-0.205060,-0.180798,-0.085948,0.033891,-0.000328,high,0.0053705431789683785,0.3096528189269879,57,1,1,0
1774771457,342167338,1.141314,-0.201969,-0.177349,-0.086770,0.037178,-0.000281,high,0.005831009944043945,0.3431666114708406,56,1,1,0
1774771457,394308035,1.129420,-0.210965,-0.193002,-0.087772,0.038219,-0.000693,high,0.007788948018130367,0.34404479578221797,58,1,1,0
1774771457,472358221,1.115300,-0.217127,-0.208303,-0.089580,0.038135,-0.000196,high,0.0045396631567737634,0.2857345557247444,58,1,1,0
1774771457,547613001,1.121605,-0.212138,-0.210570,-0.089921,0.036495,0.000737,high,0.009423625036530598,0.25792593916302753,57,1,1,0
1774771457,624025717,1.119090,-0.211662,-0.195734,-0.089218,0.033945,0.001246,high,0.006342477014286704,0.28457496083789047,56,1,1,0
1774771457,701725442,1.119192,-0.209218,-0.186694,-0.087573,0.033745,0.000529,high,0.003986902753809961,0.3358473440852586,58,1,1,0
1774771457,777221554,1.112046,-0.217080,-0.210046,-0.086616,0.035657,0.000074,high,0.004890638247117679,0.2915807006712653,57,1,1,0
1774771457,855914254,1.134416,-0.208494,-0.183785,-0.085646,0.037228,0.000368,high,0.003509663824127286,0.2640282754395311,57,1,1,0
1774771457,906808386,1.139220,-0.206623,-0.183113,-0.085505,0.037284,0.000380,high,0.0077538030603812105,0.30953134092245355,57,1,1,0
1774771457,982711476,1.128890,-0.209891,-0.187617,-0.084693,0.033622,0.000260,high,0.0050452971341503365,0.30566709123044294,57,1,1,0
1774771458,60895642,1.120736,-0.207832,-0.189741,-0.083727,0.030547,0.000105,high,0.006014944418005608,0.29169392031254365,57,1,1,0
1774771458,135734570,1.129494,-0.207178,-0.187089,-0.085808,0.029473,0.000052,high,0.004229572500654422,0.32517001900640224,58,1,1,0
1774771458,212987632,1.135057,-0.207453,-0.185572,-0.089220,0.031768,-0.000427,high,0.0033613505514452973,0.30661510216252386,57,1,1,0
1774771458,289436661,1.138127,-0.205867,-0.170564,-0.092228,0.035582,-0.000245,high,0.0033898248479951928,0.339211452106041,56,1,1,0
1774771458,341534039,1.115605,-0.212300,-0.190236,-0.093169,0.037396,-0.000012,high,0.0051678344253616275,0.3491649593070768,58,1,1,0
1774771458,417910717,1.106568,-0.217643,-0.200076,-0.094604,0.038998,0.000281,high,0.004345242142725223,0.2868159816546503,58,1,1,0
1774771458,494625930,1.128333,-0.206986,-0.188487,-0.095501,0.039490,0.000174,high,0.010541223658770672,0.30733829124855594,56,1,1,0
1774771458,572752505,1.106648,-0.213445,-0.210051,-0.095761,0.038573,0.000359,high,0.0027271899949051237,0.29991759325162737,57,1,1,0
1774771458,647913876,1.105457,-0.213224,-0.194829,-0.096039,0.037480,-0.000330,high,0.007276650759278601,0.3217412625274096,58,1,1,0
1774771458,724161240,1.108070,-0.209846,-0.190351,-0.095263,0.036039,-0.000015,high,0.004186092913374125,0.2825205207551089,57,1,1,0
1774771458,801516060,1.112269,-0.208710,-0.195531,-0.094301,0.034056,0.000484,high,0.005800131589394113,0.2524286897603992,57,1,1,0
1774771458,853561345,1.109405,-0.215617,-0.208187,-0.093137,0.034037,0.000096,high,0.007564529727961634,0.3391164927150637,56,1,1,0
1774771458,930950869,1.105122,-0.214323,-0.194355,-0.092399,0.036738,0.000065,high,0.0031627571098694247,0.3242931981640793,57,1,1,0
1774771459,8219435,1.096200,-0.222107,-0.205031,-0.092496,0.038178,0.000048,high,0.0017381438880342372,0.2835708981452324,57,1,1,0
1774771459,84109520,1.112216,-0.209115,-0.196368,-0.090866,0.038729,0.000038,high,0.008461480089418816,0.26297193814669484,57,1,1,0
1774771459,160329436,1.113370,-0.207479,-0.183912,-0.089196,0.038273,0.000035,high,0.003058117252794185,0.2925774458912509,57,1,1,0
1774771459,236880702,1.103689,-0.214180,-0.194089,-0.087779,0.036997,-0.000432,high,0.005560590091923457,0.335466508290522,58,1,1,0
