x_m,y_m,z_m
0.8301886916160583,3.1500000953674316,0.0
0.7798742055892944,3.1500000953674316,0.0
0.7295597195625305,3.1500000953674316,0.0
0.6792452931404114,3.1500000953674316,0.0
0.6289308071136475,3.1500000953674316,0.0
0.5786163806915283,3.1500000953674316,0.0
0.5283018946647644,3.1500000953674316,0.0
0.4779874086380005,3.1500000953674316,0.0
0.42767295241355896,3.1500000953674316,0.0
0.37735849618911743,3.1500000953674316,0.0
0.3270440399646759,3.1500000953674316,0.0
0.276729553937912,3.1500000953674316,0.0
0.22641509771347046,3.1500000953674316,0.0
0.17610062658786774,3.1500000953674316,0.0
0.1257861703634262,3.1500000953674316,0.0
0.07547169923782349,3.1500000953674316,0.0
0.025157231837511063,3.1500000953674316,0.0
-0.025157231837511063,3.1500000953674316,0.0
-0.07547169923782349,3.1500000953674316,0.0
-0.1257861703634262,3.1500000953674316,0.0
-0.17610062658786774,3.1500000953674316,0.0
-0.22641509771347046,3.1500000953674316,0.0
-0.276729553937912,3.1500000953674316,0.0
-0.3270440399646759,3.1500000953674316,0.0
-0.37735849618911743,3.1500000953674316,0.0
-0.42767295241355896,3.1500000953674316,0.0
-0.4779874086380005,3.1500000953674316,0.0
-0.5283018946647644,3.1500000953674316,0.0
-0.5786163806915283,3.1500000953674316,0.0
-0.6289308071136475,3.1500000953674316,0.0
-0.6792452931404114,3.1500000953674316,0.0
-0.7295597195625305,3.1500000953674316,0.0
-0.7798742055892944,3.1500000953674316,0.0
-0.8301886916160583,3.1500000953674316,0.0
-0.8805031180381775,3.1500000953674316,0.0
-0.9308176040649414,3.1500000953674316,0.0
-0.9811320900917053,3.1500000953674316,0.0
-1.0314465761184692,3.1500000953674316,0.0
-1.0817610025405884,3.1500000953674316,0.0
-1.1320754289627075,3.1500000953674316,0.0
-1.1823899745941162,3.1500000953674316,0.0
-1.2327044010162354,3.1500000953674316,0.0
-1.2830188274383545,3.1500000953674316,0.0
-1.3333333730697632,3.1500000953674316,0.0
-1.3836477994918823,3.1500000953674316,0.0
-1.4339622259140015,3.1500000953674316,0.0
-1.4842767715454102,3.1500000953674316,0.0
-1.5345911979675293,3.1500000953674316,0.0
-1.5849056243896484,3.1500000953674316,0.0
-1.6352201700210571,3.1500000953674316,0.0
-1.6855345964431763,3.1500000953674316,0.0
-1.7358490228652954,3.1500000953674316,0.0
-1.786163568496704,3.1500000953674316,0.0
-1.8364779949188232,3.1500000953674316,0.0
-1.8867924213409424,3.1500000953674316,0.0
-1.937106966972351,3.1500000953674316,0.0
