stamp_sec,stamp_nanosec,scan_index,point_index,angle_rad,range_m,x_m,y_m
1774755343,342640213,0,108,1.8849555775523186,0.4129999876022339,-0.12762400911044072,0.3927863313024315
1774755343,342640213,0,110,1.919862162321806,0.41874998807907104,-0.14322092508836642,0.3934962758820656
1774755343,342640213,0,113,1.972222039476037,0.4247500002384186,-0.16596304094569017,0.3909844392588991
1774755343,342640213,0,115,2.0071286242455244,0.4307500123977661,-0.18204281541453013,0.3903920933326224
1774755343,342640213,0,118,2.0594885013997555,0.43825000524520874,-0.20574590868013695,0.38695179048404754
1774755343,342640213,0,120,2.094395086169243,0.44600000977516174,-0.2229999986211223,0.3862473421713395
1774755343,342640213,0,122,2.1293016709387302,0.4560000002384186,-0.24164317823815437,0.3867099360352683
1774755343,342640213,0,125,2.1816615480929613,0.46700000762939453,-0.26786019368700453,0.38254401545941735
1774755343,342640213,0,127,2.2165681328624487,0.47874999046325684,-0.28811893002966044,0.3823467477658626
1774755343,342640213,0,129,2.251474717631936,0.4925000071525574,-0.30994029041794624,0.38274439698173013
1774755343,342640213,0,132,2.303834594786167,0.5077499747276306,-0.33975104173420034,0.37733177241843174
1774755343,342640213,0,134,2.3387411795556545,0.5249999761581421,-0.3646956210871766,0.37765338463449294
1774755343,342640213,0,137,2.3911010567098856,0.5450000166893005,-0.3985877727036752,0.37168912499891793
1774755343,342640213,0,139,2.426007641479373,0.5667499899864197,-0.42773164004636527,0.371821456149122
1774755343,342640213,0,142,2.478367518633604,0.5917500257492065,-0.4663053767431329,0.36431770282904385
1774755343,342640213,0,144,2.5132741034030914,0.6194999814033508,-0.5011860058810637,0.36413296262181266
1774755343,342640213,0,146,2.548180688172579,0.6430000066757202,-0.533071157589888,0.35956105118707316
1774755343,342640213,0,149,2.60054056532681,0.6990000009536743,-0.599159936755894,0.3600116269232284
1774755343,342640213,0,151,2.6354471500962973,0.7195000052452087,-0.629288876753138,0.34882053715718797
1774755343,342640213,0,162,2.827433366328478,2.097249984741211,-1.9946032500934447,0.6480859304241042
1774755343,342640213,0,165,2.879793243482709,2.0617499351501465,-1.9914974978073743,0.5336201938819416
1774755343,342640213,0,167,2.9146998282521963,2.0234999656677246,-1.9716377823631848,0.4551884952580259
1774755343,342640213,0,170,2.9670597054064274,1.993749976158142,-1.9634604261311512,0.34621109521139
1774755343,342640213,0,172,3.0019662901759148,1.9472500085830688,-1.9282994990545252,0.27100486688033676
1774755343,342640213,0,175,3.054326167330146,1.9282499551773071,-1.9209123779670367,0.168058102495271
1774755343,342640213,0,177,3.089232752099633,1.9190000295639038,-1.9163701043140264,0.10043274743683367
1774755343,342640213,0,180,3.1415926292538643,1.91225004196167,-1.9122500419616693,4.6536381156067216e-08
1774755343,342640213,0,182,3.1764992140233517,1.8942500352859497,-1.8930961109720603,-0.06610832627803022
1774755343,342640213,0,185,3.2288590911775827,1.930999994277954,-1.923651960524339,-0.16829769063277644
1774755343,342640213,0,187,3.26376567594707,1.9872499704360962,-1.972437316628674,-0.24218479921114225
1774755343,342640213,0,190,3.316125553101301,1.9919999837875366,-1.9617370369197955,-0.3459071167043068
1774755343,342640213,0,192,3.3510321378707886,1.846500039100647,-1.8061495929668083,-0.38390889833985764
1774755343,342640213,0,195,3.4033920150250196,1.8209999799728394,-1.7589509227532079,-0.47130942957543315
1774755343,342640213,0,197,3.438298599794507,2.0299999713897705,-1.9412986430527208,-0.5935145005171606
1774755343,342640213,0,200,3.490658476948738,2.0167500972747803,-1.8951252030296768,-0.6897691060779411
1774755343,342640213,0,202,3.5255650617182255,1.7402499914169312,-1.6135317127556152,-0.6519090769106991
1774755343,342640213,0,205,3.5779249388724566,1.534749984741211,-1.3909558803022544,-0.6486133322062752
1774755343,342640213,0,207,3.612831523641944,1.3762500286102295,-1.2262477718921176,-0.6248044039371634
1774755343,342640213,0,210,3.665191400796175,1.2432500123977661,-1.076686111640909,-0.6216249756297004
1774755343,342640213,0,213,3.717551277950406,1.1407500505447388,-0.9567135106659372,-0.6212969791710576
1774755343,342640213,0,215,3.7524578627198935,1.05649995803833,-0.8654341180330082,-0.6059834557802899
