pose_index,stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad
240,135,634000000,6.468883261,-0.494919598,1.364304330
241,135,668000000,6.473244453,-0.472901514,1.365712281
242,135,700000000,6.477180274,-0.453225788,1.366892675
243,135,736000000,6.481758931,-0.426352493,1.373498370
244,135,767000000,6.484532374,-0.404991012,1.382759158
245,135,800000000,6.487528386,-0.380496046,1.390985444
246,135,868000000,6.492242264,-0.345194065,1.401025847
247,135,936000000,6.496452175,-0.305650712,1.416487067
248,135,970000000,6.497737464,-0.279563612,1.433377215
249,136,34000000,6.498717794,-0.242302440,1.457722057
250,136,67000000,6.499161346,-0.220590713,1.470184257
251,136,101000000,6.499078700,-0.198355931,1.484637727
252,136,167000000,6.498046048,-0.159723358,1.510381482
253,136,234000000,6.497464867,-0.134692791,1.522762959
254,136,300000000,6.497669141,-0.112746970,1.528043136
255,136,401000000,6.497951390,-0.089325417,1.532502870
256,136,567000000,6.498350996,-0.067821393,1.534972966
257,136,934000000,6.499037353,-0.044648519,1.536101774
258,137,34000000,6.500176692,-0.005970348,1.537324174
259,137,100000000,6.500596840,0.021724995,1.540680402
260,137,167000000,6.498959473,0.060648093,1.557214743
261,137,236000000,6.497175813,0.090860649,1.570416490
262,137,300000000,6.495940556,0.115522446,1.578160384
263,137,368000000,6.492948667,0.143857324,1.595186608
264,137,434000000,6.490777860,0.168483250,1.604829662
265,137,467000000,6.487900253,0.188524278,1.618504712
266,137,500000000,6.483964285,0.209293332,1.637024715
267,137,534000000,6.478538242,0.236109148,1.659479818
268,137,600000000,6.471676697,0.268447680,1.683906142
269,137,667000000,6.467182461,0.296289433,1.691005735
270,137,734000000,6.461677276,0.338408302,1.693216521
271,137,800000000,6.456442169,0.380712552,1.693769264
272,137,867000000,6.453164814,0.407217400,1.694181614
273,137,935000000,6.446929244,0.442724422,1.704860640
274,137,967000000,6.440826426,0.466700720,1.722337289
275,138,0,6.431660883,0.496832532,1.750363647
276,138,34000000,6.424046117,0.521131047,1.770504291
277,138,67000000,6.416626160,0.542919007,1.788614440
278,138,100000000,6.405474479,0.574922779,1.811614606
279,138,134000000,6.393637910,0.611226774,1.828020587
280,138,167000000,6.384240164,0.641527703,1.836267022
281,138,200000000,6.373778358,0.672395585,1.848239737
282,138,234000000,6.360579464,0.705627525,1.869805739
283,138,267000000,6.343385172,0.742878956,1.902410357
284,138,300000000,6.327899985,0.774710991,1.928346230
285,138,334000000,6.310918863,0.810164799,1.947856751
286,138,374000000,6.296914355,0.841362668,1.956829291
287,138,400000000,6.285525929,0.867994447,1.961497259
288,138,434000000,6.276920010,0.888350189,1.963344763
289,138,467000000,6.265283709,0.916093147,1.964309263
290,138,500000000,6.255848446,0.939243924,1.966071243
291,138,567000000,6.242555211,0.971210675,1.966732950
292,138,634000000,6.228856546,1.003949566,1.966594308
293,138,667000000,6.220586028,1.023714917,1.966543126
294,138,700000000,6.212760056,1.042578104,1.966895358
295,138,767000000,6.202759313,1.066763245,1.967712533
296,138,867000000,6.191351566,1.093925684,1.967567051
297,138,934000000,6.182960499,1.113992988,1.967675248
298,139,35000000,6.173985626,1.135263924,1.967284835
299,139,100000000,6.166106706,1.154125205,1.967387484
300,139,200000000,6.154551693,1.181585332,1.967029212
301,139,268000000,6.140995912,1.212813113,1.969774159
302,139,334000000,6.126264290,1.243981216,1.978345746
303,139,367000000,6.114121662,1.265773177,1.993324144
304,139,400000000,6.099447921,1.289096414,2.016574472
305,139,434000000,6.084399429,1.311275445,2.041648842
306,139,467000000,6.066143132,1.337327733,2.067625379
307,139,500000000,6.048986889,1.362598320,2.085162601
308,139,536000000,6.029557424,1.392334961,2.098689834
309,139,567000000,6.015643816,1.414317546,2.105215061
310,139,600000000,6.003112512,1.435044620,2.109935382
311,139,667000000,5.988583800,1.459393570,2.112516287
312,139,767000000,5.976043822,1.480116935,2.112223902
313,139,867000000,5.961991676,1.502738506,2.114519094
314,139,967000000,5.949050046,1.523063648,2.115004700
315,140,36000000,5.935056687,1.546043333,2.116622807
316,140,134000000,5.917532872,1.572146322,2.124930226
317,140,167000000,5.903373937,1.589968391,2.141681966
318,140,200000000,5.886447730,1.609443326,2.165103616
319,140,235000000,5.870492758,1.627155259,2.185531678
320,140,300000000,5.845936389,1.653728364,2.214623894
321,140,401000000,5.829416968,1.673664481,2.222257532
322,140,534000000,5.809295559,1.697430869,2.232339686
323,140,600000000,5.790896320,1.716176852,2.251356378
324,140,700000000,5.772182171,1.736603929,2.261481202
325,140,800000000,5.753241286,1.757414009,2.269501496
326,140,934000000,5.735167264,1.777555808,2.274520212
327,141,0,5.710006878,1.801534384,2.297891867
328,141,69000000,5.680921014,1.825933885,2.331017365
329,141,134000000,5.656539128,1.845896990,2.354445849
330,141,200000000,5.627320484,1.870827368,2.373153453
331,141,267000000,5.602308756,1.892138689,2.386002655
332,141,300000000,5.582444640,1.907658817,2.401267625
333,141,334000000,5.565631373,1.919680138,2.417255030
334,141,367000000,5.547162741,1.932670213,2.432786821
335,141,400000000,5.528393529,1.945294468,2.449676071
336,141,434000000,5.508166330,1.958481384,2.467049596
337,141,467000000,5.488997328,1.970201868,2.485330286
338,141,534000000,5.442133675,1.996244114,2.531016401
339,141,567000000,5.421179811,2.006882596,2.552104096
340,141,600000000,5.399671834,2.017053142,2.574580561
341,141,635000000,5.361550584,2.033582638,2.612601111
342,141,667000000,5.335924389,2.044469411,2.633059547
343,141,700000000,5.317099159,2.052918361,2.644088301
344,141,734000000,5.291266333,2.064996236,2.653348583
345,141,800000000,5.258415127,2.081064376,2.656299662
346,141,907000000,5.232146791,2.094530547,2.658341505
347,142,0,5.203997938,2.107677414,2.668365418
348,142,67000000,5.176617547,2.120069355,2.677248680
349,142,134000000,5.141784687,2.136876098,2.679917203
350,142,200000000,5.113699460,2.150657728,2.679802440
351,142,267000000,5.084271451,2.165300686,2.679966389
352,142,334000000,5.055583649,2.179572766,2.679994472
353,142,400000000,5.020649885,2.196926834,2.679872997
354,142,469000000,4.994164064,2.210034751,2.680419933
355,142,534000000,4.962950523,2.223547709,2.692593525
356,142,600000000,4.934235340,2.235204378,2.703617927
357,142,667000000,4.897942685,2.250486113,2.713632747
358,142,700000000,4.875518073,2.260214924,2.715592940
