stamp_sec,stamp_nanosec,frame_id,child_frame_id,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps
22,527000000,odom_imu_lidar_fused,base_link,2.066997341,-0.461947874,0.463812347,-0.135051238,0.042035280,0.131530869
22,773000000,odom_imu_lidar_fused,base_link,2.110869170,-0.439362130,0.420237864,0.176192088,0.090705800,0.097587937
23,20000000,odom_imu_lidar_fused,base_link,2.116820348,-0.418268238,0.369700243,0.035850468,0.127071636,0.070065213
23,302000000,odom_imu_lidar_fused,base_link,2.112149563,-0.415841625,0.247801213,-0.014068629,0.007309077,0.047100077
23,638000000,odom_imu_lidar_fused,base_link,2.167772053,-0.507367901,0.109389363,0.167537621,-0.275681556,0.146062137
23,944000000,odom_imu_lidar_fused,base_link,2.191524584,-0.536398961,0.096765557,0.071543766,-0.087442952,0.277528136
24,151000000,odom_imu_lidar_fused,base_link,2.187883829,-0.538275875,0.128559313,-0.021932257,-0.011306707,0.404121597
24,403000000,odom_imu_lidar_fused,base_link,2.149524162,-0.538038214,0.215477288,-0.154054889,0.000954463,0.539257387
24,673000000,odom_imu_lidar_fused,base_link,2.129965505,-0.543777285,0.339856968,-0.078548822,-0.023048481,0.406323666
24,968000000,odom_imu_lidar_fused,base_link,2.068694442,-0.509576040,0.462112922,-0.184551394,0.103015799,0.302656117
25,219000000,odom_imu_lidar_fused,base_link,2.058335349,-0.514605846,0.448605608,-0.041602784,-0.020200025,0.229511955
25,524000000,odom_imu_lidar_fused,base_link,2.155136913,-0.506489414,0.474939910,0.291570977,0.024447084,0.172644062
25,948000000,odom_imu_lidar_fused,base_link,2.114654581,-0.495469396,0.437589711,-0.097547789,0.026554262,0.129377721
26,285000000,odom_imu_lidar_fused,base_link,1.957150807,-0.534550278,0.311626857,-0.474408958,-0.117713499,0.101224327
26,570000000,odom_imu_lidar_fused,base_link,1.911121606,-0.563197512,0.230135974,-0.184856228,-0.115049134,0.073671000
26,867000000,odom_imu_lidar_fused,base_link,2.109896102,-0.543358625,0.206824906,0.598718362,0.059755685,0.160098462
27,149000000,odom_imu_lidar_fused,base_link,2.213635953,-0.466480699,0.211603380,0.416625907,0.308746688,0.280617449
27,502000000,odom_imu_lidar_fused,base_link,2.253868885,-0.492473594,0.395653879,0.096946824,-0.062633482,0.422623292
27,801000000,odom_imu_lidar_fused,base_link,2.301764486,-0.450007129,0.561045243,0.192351809,0.170548054,0.316428491
28,81000000,odom_imu_lidar_fused,base_link,2.362610128,-0.361376632,0.738445494,0.183270006,0.266959328,0.237858633
28,324000000,odom_imu_lidar_fused,base_link,2.409441603,-0.329270973,0.741181308,0.188078213,0.128938388,0.176576023
28,594000000,odom_imu_lidar_fused,base_link,2.450672932,-0.285912262,0.729020954,0.165587669,0.174131373,0.133870144
28,919000000,odom_imu_lidar_fused,base_link,2.528935908,-0.226719336,0.713721151,0.235731854,0.178291945,0.099294558
29,207000000,odom_imu_lidar_fused,base_link,2.606972169,-0.175139134,0.700545813,0.313398641,0.207149404,0.075199254
29,460000000,odom_imu_lidar_fused,base_link,2.969728043,0.297005457,0.725364771,1.456850896,1.896163016,0.052018738
29,734000000,odom_imu_lidar_fused,base_link,3.138707489,0.185130640,0.719039568,0.678632316,-0.449296453,0.175352087
30,33000000,odom_imu_lidar_fused,base_link,3.151087262,0.219096477,0.746257255,0.037288471,0.102306739,0.132900357
30,322000000,odom_imu_lidar_fused,base_link,3.119494362,0.225984352,0.863549725,-0.095159336,0.020746612,0.101920026
30,601000000,odom_imu_lidar_fused,base_link,3.114160371,0.233726763,0.861391156,-0.021421649,0.031094021,0.108194908
30,847000000,odom_imu_lidar_fused,base_link,3.103331905,0.217269613,0.873253165,-0.043487816,-0.066092972,0.231869253
31,136000000,odom_imu_lidar_fused,base_link,3.110518002,0.253557201,0.927855455,0.028859825,0.145733285,0.348705854
31,472000000,odom_imu_lidar_fused,base_link,3.207271129,0.392852347,1.134688389,0.291425083,0.419563691,0.263091114
31,760000000,odom_imu_lidar_fused,base_link,3.203451259,0.463294750,1.244647664,-0.011505633,0.212175915,0.200896977
32,10000000,odom_imu_lidar_fused,base_link,3.191351585,0.486244253,1.241221968,-0.048593068,0.092166677,0.149590154
