stamp_sec,stamp_nanosec,ax_mps2,ay_mps2,az_mps2,gx_rps,gy_rps,gz_rps,qx,qy,qz,qw
44,904000000,0.096556113,-0.019588367,9.904514996,-0.000194824,0.000599798,0.002657226,0.000000000,0.000000000,-0.791263054,0.611475902
44,912000000,-0.134812590,-0.086462929,9.778716661,0.006272496,0.005365465,-0.028071278,0.000000000,0.000000000,-0.791261692,0.611477665
44,920000000,-0.098923348,0.056578563,9.936181216,-0.018458849,-0.012483131,-0.000283799,0.000000000,0.000000000,-0.791260597,0.611479082
44,928000000,-0.108671627,-0.405370210,9.788248342,-0.004426125,0.008204412,-0.003677244,0.000000000,0.000000000,-0.791259276,0.611480791
44,936000000,0.127152057,0.020034524,9.846327593,-0.014031436,-0.009330587,0.000792400,0.000000000,0.000000000,-0.791258649,0.611481602
44,944000000,-0.025015615,-0.092147742,9.811132334,0.030161628,-0.020416341,-0.010005508,0.000000000,0.000000000,-0.791258103,0.611482310
44,952000000,0.008773835,-3.541727517,9.843763155,-0.033247681,-0.009025148,0.012108251,0.000000000,0.000000000,-0.791257637,0.611482912
44,960000000,0.142869803,-1.434901139,9.766974433,0.021428674,-0.010086696,-0.003546251,0.000000000,0.000000000,-0.791257287,0.611483365
44,968000000,0.055642380,0.065593919,9.734497524,-0.005878701,-0.021165648,-0.028489703,0.000000000,0.000000000,-0.791256979,0.611483764
44,976000000,-0.095279897,-0.060638569,9.732830772,-0.001061102,-0.013905038,0.006140560,0.000000000,0.000000000,-0.791256731,0.611484084
44,984000000,-0.009709059,0.060198653,9.790710332,0.000389171,0.011724432,0.017837024,0.000000000,0.000000000,-0.791256494,0.611484391
44,992000000,-0.041571817,0.137611495,9.875607069,0.010505306,-0.003917054,0.025720764,0.000000000,0.000000000,-0.791256305,0.611484635
45,0,0.130019913,-0.046672172,9.651712310,-0.007106301,-0.005783232,0.024943369,0.000000000,0.000000000,-0.791256138,0.611484852
45,8000000,0.068435648,0.020310929,9.788400572,-0.005022532,0.006542629,0.006888781,0.000000000,0.000000000,-0.791255995,0.611485037
45,16000000,0.022538578,-0.109710449,9.829674358,-0.012840450,-0.019563705,0.018210214,0.000000000,0.000000000,-0.791255867,0.611485203
45,24000000,-0.083203315,0.034976362,9.916982039,0.016355491,0.021340006,-0.005327744,0.000000000,0.000000000,-0.791255768,0.611485331
45,32000000,-0.024423531,-0.094877711,9.924880868,-0.007345294,0.006069048,-0.005739185,0.000000000,0.000000000,-0.791255690,0.611485431
45,40000000,0.055590486,0.025014895,9.994639602,-0.015646236,-0.001862603,-0.003956911,0.000000000,0.000000000,-0.791255624,0.611485517
45,48000000,0.093436056,-0.132442320,9.924759182,-0.017219469,-0.006039207,0.003090759,0.000000000,0.000000000,-0.791255566,0.611485592
45,56000000,-0.017090498,0.078906637,9.813620177,-0.020247789,-0.001907333,0.023726347,0.000000000,0.000000000,-0.791255518,0.611485655
45,64000000,-0.024461102,0.023595818,9.884141894,0.007574576,0.009530751,0.006597375,0.000000000,0.000000000,-0.791255479,0.611485705
45,72000000,0.065944813,-0.144967715,9.699402685,-0.014855985,-0.018479520,0.003153548,0.000000000,0.000000000,-0.791255446,0.611485748
45,80000000,0.031447445,-0.144671526,9.579929699,0.037438964,-0.004816409,0.006881066,0.000000000,0.000000000,-0.791255416,0.611485786
45,88000000,0.053505965,-0.022886402,9.815097045,0.015047647,0.019773234,0.002052922,0.000000000,0.000000000,-0.791255389,0.611485821
45,96000000,-0.153417863,0.120905501,9.754246318,0.008851397,-0.004889398,0.005812300,0.000000000,0.000000000,-0.791255368,0.611485848
45,104000000,-0.187956161,0.066882234,9.737679281,-0.014590773,0.000293388,0.017078819,0.000000000,0.000000000,-0.791255349,0.611485873
45,112000000,-0.703207615,5.346957040,9.913920583,-0.002895332,-0.003499024,-0.007190061,0.000000000,-0.000000000,-0.791264623,0.611473872
