_sequence,phase,step,cycle,steer_center_trim_dc,steer_clamped_deg,steer_cycle,steer_dc_center,steer_phase,steer_post_sign_deg,steer_pre_sign_deg,steer_pwm_dc,steer_requested_deg,steer_steering_direction_sign,steer_steering_limit_deg,steer_step,steer__tag,steer__line_no,motor_cycle,motor_neutral_dc,motor_phase,motor_pwm_dc,motor_reverse_mode,motor_speed_pct,motor_step,motor__tag,motor__line_no,front_clearance_m,front_min_m,heading_offset_deg,left_clearance_m,left_min_m,left_right_delta_m,right_clearance_m,right_min_m,scan_age_s,_tag,_line_no,active_heading_source,avoidance_heading_deg,centering_heading_deg,centering_weight,gap_heading_deg,speed_pct,steering_deg,steering_pre_servo_deg,target_heading_deg,pose_cycle,pose_distance_from_phase_start_m,pose_lateral_drift_m,pose_phase,pose_step,pose_x,pose_y,pose_yaw_change_deg,pose_yaw_deg,pose__tag,pose__line_no
28,steering_static,steer_right_static,29,0.0,10.0,29,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,142,29,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,143,1.7251311192909877,1.5994999408721924,-89,0.6057532112235609,0.4477095603942871,0.4263811815158486,0.1793720297077123,0.09303971379995346,0.064308426,DIAG_NAV,145,avoidance,8.866746164858341,7.674861267285275,0.0,6.0,22.551764793073136,3.1033611577004194,3.1033611577004194,8.866746164858341,29,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,146
29,steering_static,steer_right_static,30,0.0,10.0,30,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,147,30,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,148,1.72458915412426,1.5994999408721924,-89,0.6342050242931285,0.4468095898628235,0.4549129625435019,0.1792920617496266,0.09307924658060074,0.046993541,DIAG_NAV,150,avoidance,8.843258582055569,8.188433325783034,0.0,4.0,22.55560109826426,3.095140503719449,3.095140503719449,8.843258582055569,30,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,151
30,steering_static,steer_right_static,31,0.0,10.0,31,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,152,31,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,153,1.7160555024941762,1.566499948501587,-89,0.5870744071223519,0.4439943730831146,0.40778545314137316,0.1792889539809788,0.09261821210384369,0.008384847,DIAG_NAV,155,avoidance,8.784404024481773,7.340138156544716,0.0,4.0,22.565214009334642,3.0745414085686207,3.0745414085686207,8.784404024481773,31,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,156
31,steering_static,steer_right_static,32,0.0,10.0,32,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,157,32,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,158,1.7284483512242634,1.6017500162124634,-89,0.5976530624760522,0.44582945108413696,0.42025600871424273,0.17739705376180948,0.09265584498643875,0.031131129,DIAG_NAV,160,avoidance,8.829340152442455,7.5646081568563694,0.0,2.0,22.55787444176773,3.0902690533548594,3.0902690533548594,8.829340152442455,32,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,161
32,steering_static,steer_right_static,33,0.0,10.0,33,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,162,33,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,163,1.7222340901692708,1.6017500162124634,-89,0.5937190804216597,0.4457946717739105,0.41520633859182493,0.17851274182983473,0.09304969757795334,0.029210836,DIAG_NAV,165,avoidance,8.81862435489893,7.473714094652848,0.0,5.0,22.55962468869984,3.0865185242146254,3.0865185242146254,8.81862435489893,33,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,166
33,steering_static,steer_right_static,34,0.0,10.0,34,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,167,34,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,168,1.71632482111454,1.6022499799728394,-89,0.5952382816208733,0.44605955481529236,0.4179013555053792,0.17733692611549415,0.09349603205919266,0.053031351000000004,DIAG_NAV,170,avoidance,8.814088068902493,7.522224399096826,0.0,5.0,22.560365615412593,3.0849308241158724,3.0849308241158724,8.814088068902493,34,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,171
34,steering_static,steer_right_static,35,0.0,10.0,35,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,172,35,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,173,1.7242711931467056,1.6022499799728394,-89,0.6059720231139142,0.44785958528518677,0.4276024466737762,0.17836957644013798,0.09314846992492676,0.07033597600000001,DIAG_NAV,175,avoidance,8.8677778840065,7.6968440401279725,0.0,3.0,22.551596278945603,3.103722259402275,3.103722259402275,8.8677778840065,35,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,176
35,steering_static,steer_right_static,36,0.0,10.0,36,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,177,36,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,178,1.7242711931467056,1.6022499799728394,-89,0.6059720231139142,0.44785958528518677,0.4276024466737762,0.17836957644013798,0.09314846992492676,0.20175150400000003,DIAG_NAV,180,avoidance,8.8677778840065,7.6968440401279725,0.0,3.0,22.551596278945603,3.103722259402275,3.103722259402275,8.8677778840065,36,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,181
36,steering_static,steer_right_static,37,0.0,10.0,37,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,182,37,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,183,1.7208634267250698,1.5982500314712524,-89,0.598229193687439,0.4484799802303314,0.41977796575018006,0.17845122793725893,0.09226340055465698,0.019548449000000002,DIAG_NAV,185,avoidance,8.905414491891861,7.556003383503241,0.0,5.0,22.54544896632433,3.1168950721621513,3.1168950721621513,8.905414491891861,37,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,186
37,steering_static,steer_right_static,38,0.0,10.0,38,6.8,steering_static,10.0,10.0,7.8,10.0,1.0,18.0,steer_right_static,DIAG_STEER,187,38,7.5,steering_static,7.5,False,0.0,steer_right_static,DIAG_MOTOR,188,1.7188243319590886,1.5982500314712524,-89,0.5939472628964318,0.44531476497650146,0.4132957103595235,0.18065155253690832,0.09214925765991211,0.042234061,DIAG_NAV,190,avoidance,8.829137682914734,7.439322786471423,0.0,1.0,22.557907511790592,3.090198189020157,3.090198189020157,8.829137682914734,38,0.0,0.0,steering_static,steer_right_static,0.0,0.0,0.0,0.0,DIAG_POSE,191
