t_s,monotonic_s,motor_pwm_dir_exists,motor_period_ns,motor_duty_cycle_ns,motor_enabled,steering_pwm_dir_exists,steering_period_ns,steering_duty_cycle_ns,steering_enabled
3.394313602000011,472.398038567,1,20000000,1500000,1,1,20000000,1640000,1
3.4148331150000217,472.41855808,1,20000000,1500000,1,1,20000000,1640000,1
3.435424700999988,472.439149666,1,20000000,1500000,1,1,20000000,1640000,1
3.45604102599998,472.459765991,1,20000000,1500000,1,1,20000000,1640000,1
3.4767275720000157,472.480452537,1,20000000,1500000,1,1,20000000,1640000,1
3.497110663000001,472.500835628,1,20000000,1500000,1,1,20000000,1640000,1
3.5174588479999898,472.521183813,1,20000000,1500000,1,1,20000000,1640000,1
3.537787847000004,472.541512812,1,20000000,1500000,1,1,20000000,1640000,1
3.5580771439999808,472.561802109,1,20000000,1500000,1,1,20000000,1640000,1
3.5783480709999935,472.582073036,1,20000000,1500000,1,1,20000000,1640000,1
3.598842289000004,472.602567254,1,20000000,1500000,1,1,20000000,1640000,1
3.619365098000003,472.623090063,1,20000000,1500000,1,1,20000000,1640000,1
3.6398278909999817,472.643552856,1,20000000,1500000,1,1,20000000,1640000,1
3.6600992250000104,472.66382419,1,20000000,1500000,1,1,20000000,1640000,1
3.680441612999971,472.684166578,1,20000000,1500000,1,1,20000000,1640000,1
3.700797964000003,472.704522929,1,20000000,1500000,1,1,20000000,1640000,1
3.721163685000022,472.72488865,1,20000000,1500000,1,1,20000000,1640000,1
3.7415449239999816,472.745269889,1,20000000,1500000,1,1,20000000,1640000,1
3.761964603000024,472.765689568,1,20000000,1500000,1,1,20000000,1640000,1
3.782451203999983,472.786176169,1,20000000,1500000,1,1,20000000,1640000,1
3.802831696999988,472.806556662,1,20000000,1500000,1,1,20000000,1640000,1
3.823211411999978,472.826936377,1,20000000,1500000,1,1,20000000,1640000,1
3.8435564050000153,472.84728137,1,20000000,1500000,1,1,20000000,1640000,1
3.8639094729999783,472.867634438,1,20000000,1500000,1,1,20000000,1640000,1
3.884268039999995,472.887993005,1,20000000,1500000,1,1,20000000,1640000,1
3.9049635989999842,472.908688564,1,20000000,1500000,1,1,20000000,1640000,1
3.925325777000012,472.929050742,1,20000000,1500000,1,1,20000000,1640000,1
3.945915876000015,472.949640841,1,20000000,1500000,1,1,20000000,1640000,1
3.966241814,472.969966779,1,20000000,1500000,1,1,20000000,1640000,1
3.9865679939999836,472.990292959,1,20000000,1500000,1,1,20000000,1640000,1
4.006930468000007,473.010655433,1,20000000,1500000,1,1,20000000,1640000,1
4.027271147000022,473.030996112,1,20000000,1500000,1,1,20000000,1640000,1
4.0476035300000035,473.051328495,1,20000000,1500000,1,1,20000000,1640000,1
4.068181906000007,473.071906871,1,20000000,1500000,1,1,20000000,1640000,1
4.088572324999973,473.09229729,1,20000000,1500000,1,1,20000000,1640000,1
4.108914706999997,473.112639672,1,20000000,1500000,1,1,20000000,1640000,1
4.12924270100001,473.132967666,1,20000000,1500000,1,1,20000000,1640000,1
4.149592564999978,473.15331753,1,20000000,1500000,1,1,20000000,1640000,1
4.169935205999991,473.173660171,1,20000000,1500000,1,1,20000000,1640000,1
4.190533174999985,473.19425814,1,20000000,1500000,1,1,20000000,1640000,1
4.2111806990000105,473.214905664,1,20000000,1500000,1,1,20000000,1640000,1
4.23178027900002,473.235505244,1,20000000,1500000,1,1,20000000,1640000,1
4.252382747000013,473.256107712,1,20000000,1500000,1,1,20000000,1640000,1
4.272999122999977,473.276724088,1,20000000,1500000,1,1,20000000,1640000,1
4.293342358000018,473.297067323,1,20000000,1500000,1,1,20000000,1640000,1
4.3136786289999804,473.317403594,1,20000000,1500000,1,1,20000000,1640000,1
4.334013863999985,473.337738829,1,20000000,1500000,1,1,20000000,1640000,1
4.354308321000019,473.358033286,1,20000000,1500000,1,1,20000000,1640000,1
4.374581741999975,473.378306707,1,20000000,1500000,1,1,20000000,1640000,1
4.3951675449999925,473.39889251,1,20000000,1500000,1,1,20000000,1640000,1
4.415753420999977,473.419478386,1,20000000,1500000,1,1,20000000,1640000,1
4.4363007619999735,473.440025727,1,20000000,1500000,1,1,20000000,1640000,1
4.456893175000005,473.46061814,1,20000000,1500000,1,1,20000000,1640000,1
4.477452755999991,473.481177721,1,20000000,1500000,1,1,20000000,1640000,1
4.49865013699997,473.502375102,1,20000000,1500000,1,1,20000000,1640000,1
4.519008166999981,473.522733132,1,20000000,1500000,1,1,20000000,1640000,1
4.539345253000022,473.543070218,1,20000000,1500000,1,1,20000000,1640000,1
4.5597455050000235,473.56347047,1,20000000,1500000,1,1,20000000,1640000,1
4.580164459000002,473.583889424,1,20000000,1500000,1,1,20000000,1640000,1
4.600789501999998,473.604514467,1,20000000,1500000,1,1,20000000,1640000,1
4.621335027999976,473.625059993,1,20000000,1500000,1,1,20000000,1640000,1
4.641782019000004,473.645506984,1,20000000,1500000,1,1,20000000,1640000,1
4.662285305000012,473.66601027,1,20000000,1500000,1,1,20000000,1640000,1
4.68277747999997,473.686502445,1,20000000,1500000,1,1,20000000,1640000,1
4.703031494000015,473.706756459,1,20000000,1500000,1,1,20000000,1640000,1
4.723333674000003,473.727058639,1,20000000,1500000,1,1,20000000,1640000,1
4.743631094000023,473.747356059,1,20000000,1500000,1,1,20000000,1640000,1
4.763869682000006,473.767594647,1,20000000,1500000,1,1,20000000,1640000,1
4.784174298999972,473.787899264,1,20000000,1500000,1,1,20000000,1640000,1
4.804557747999979,473.808282713,1,20000000,1500000,1,1,20000000,1640000,1
4.824955751999994,473.828680717,1,20000000,1500000,1,1,20000000,1640000,1
4.845340367000006,473.849065332,1,20000000,1500000,1,1,20000000,1640000,1
4.865762055999994,473.869487021,1,20000000,1500000,1,1,20000000,1640000,1
4.886129301999972,473.889854267,1,20000000,1500000,1,1,20000000,1640000,1
4.906729190000021,473.910454155,1,20000000,1500000,1,1,20000000,1640000,1
4.92722941400001,473.930954379,1,20000000,1500000,1,1,20000000,1640000,1
4.947651232999988,473.951376198,1,20000000,1500000,1,1,20000000,1640000,1
4.967957554000009,473.971682519,1,20000000,1500000,1,1,20000000,1640000,1
4.988221782999972,473.991946748,1,20000000,1500000,1,1,20000000,1640000,1
5.0085107339999695,474.012235699,1,20000000,1500000,1,1,20000000,1640000,1
5.030011120999973,474.033736086,1,20000000,1500000,1,1,20000000,1640000,1
5.0511257009999895,474.054850666,1,20000000,1500000,1,1,20000000,1640000,1
5.072286761999976,474.076011727,1,20000000,1500000,1,1,20000000,1640000,1
5.09304029499998,474.09676526,1,20000000,1500000,1,1,20000000,1640000,1
5.113590815000009,474.11731578,1,20000000,1500000,1,1,20000000,1640000,1
5.133950615999993,474.137675581,1,20000000,1500000,1,1,20000000,1640000,1
5.154270473999986,474.157995439,1,20000000,1500000,1,1,20000000,1640000,1
5.174708273000022,474.178433238,1,20000000,1500000,1,1,20000000,1640000,1
5.195290440000008,474.199015405,1,20000000,1500000,1,1,20000000,1640000,1
5.215856847999987,474.219581813,1,20000000,1500000,1,1,20000000,1640000,1
5.236823080000022,474.240548045,1,20000000,1500000,1,1,20000000,1640000,1
5.257433559999981,474.261158525,1,20000000,1500000,1,1,20000000,1640000,1
5.278060207999999,474.281785173,1,20000000,1500000,1,1,20000000,1640000,1
5.298616170999992,474.302341136,1,20000000,1500000,1,1,20000000,1640000,1
5.320149334999996,474.3238743,1,20000000,1500000,1,1,20000000,1640000,1
5.340624578000018,474.344349543,1,20000000,1500000,1,1,20000000,1640000,1
5.361148023999988,474.364872989,1,20000000,1500000,1,1,20000000,1640000,1
5.3820828120000215,474.385807777,1,20000000,1500000,1,1,20000000,1640000,1
5.402757642999973,474.406482608,1,20000000,1500000,1,1,20000000,1640000,1
5.423482306999972,474.427207272,1,20000000,1500000,1,1,20000000,1640000,1
5.4487277939999785,474.452452759,1,20000000,1500000,1,1,20000000,1640000,1
5.4694084029999885,474.473133368,1,20000000,1500000,1,1,20000000,1640000,1
5.489872906000016,474.493597871,1,20000000,1500000,1,1,20000000,1640000,1
5.510229725999977,474.513954691,1,20000000,1500000,1,1,20000000,1640000,1
5.5307396719999815,474.534464637,1,20000000,1500000,1,1,20000000,1640000,1
5.551211174000002,474.554936139,1,20000000,1500000,1,1,20000000,1640000,1
5.572257940999975,474.575982906,1,20000000,1500000,1,1,20000000,1640000,1
5.597076549999997,474.600801515,1,20000000,1500000,1,1,20000000,1640000,1
5.6177966019999985,474.621521567,1,20000000,1500000,1,1,20000000,1640000,1
5.638725113000021,474.642450078,1,20000000,1500000,1,1,20000000,1640000,1
5.659365852000008,474.663090817,1,20000000,1500000,1,1,20000000,1640000,1
5.680051479999975,474.683776445,1,20000000,1500000,1,1,20000000,1640000,1
5.700532204000012,474.704257169,1,20000000,1500000,1,1,20000000,1640000,1
5.721013890999984,474.724738856,1,20000000,1500000,1,1,20000000,1640000,1
5.741506578999974,474.745231544,1,20000000,1500000,1,1,20000000,1640000,1
5.761953392000009,474.765678357,1,20000000,1500000,1,1,20000000,1640000,1
5.783415939999998,474.787140905,1,20000000,1500000,1,1,20000000,1640000,1
5.808338563999996,474.812063529,1,20000000,1500000,1,1,20000000,1640000,1
5.829007757999989,474.832732723,1,20000000,1500000,1,1,20000000,1640000,1
5.849651434999998,474.8533764,1,20000000,1500000,1,1,20000000,1640000,1
5.870526792000021,474.874251757,1,20000000,1500000,1,1,20000000,1640000,1
5.890968601999987,474.894693567,1,20000000,1500000,1,1,20000000,1640000,1
5.911606759999984,474.915331725,1,20000000,1500000,1,1,20000000,1640000,1
5.931950164999989,474.93567513,1,20000000,1500000,1,1,20000000,1640000,1
5.952317495999978,474.956042461,1,20000000,1500000,1,1,20000000,1640000,1
5.972927969000011,474.976652934,1,20000000,1500000,1,1,20000000,1640000,1
5.9964064010000016,475.000131366,1,20000000,1500000,1,1,20000000,1640000,1
6.017618676999973,475.021343642,1,20000000,1500000,1,1,20000000,1640000,1
6.038292408000018,475.042017373,1,20000000,1500000,1,1,20000000,1640000,1
6.0589069370000175,475.062631902,1,20000000,1500000,1,1,20000000,1640000,1
6.079243231000021,475.082968196,1,20000000,1500000,1,1,20000000,1640000,1
6.099542841000016,475.103267806,1,20000000,1500000,1,1,20000000,1640000,1
6.119883931000004,475.123608896,1,20000000,1500000,1,1,20000000,1640000,1
6.140228373000014,475.143953338,1,20000000,1500000,1,1,20000000,1640000,1
6.160594908000007,475.164319873,1,20000000,1500000,1,1,20000000,1640000,1
