monitor_t_s,monitor_monotonic_s,in_active_window,phase,expected_motor_speed_pct,expected_motor_duty_cycle_ns,actual_motor_duty_cycle_ns,duty_cycle_delta_ns,expected_motor_enabled,actual_motor_enabled,motor_enabled_mismatch,expected_steering_duty_cycle_ns,actual_steering_duty_cycle_ns,expected_steering_enabled,actual_steering_enabled
2.1856772210001054,1843.088621419,0,,,,1500000,,,1,0,,1640000,,1
2.205901147000077,1843.108845345,0,,,,1500000,,,1,0,,1640000,,1
2.2261415730001772,1843.129085771,0,,,,1500000,,,1,0,,1640000,,1
2.2463545910002267,1843.149298789,0,,,,1500000,,,1,0,,1640000,,1
2.2665713690000757,1843.169515567,0,,,,1500000,,,1,0,,1640000,,1
2.2868872950000423,1843.189831493,0,,,,1500000,,,1,0,,1640000,,1
2.307214869000063,1843.210159067,0,,,,1500000,,,1,0,,1640000,,1
2.32748470200022,1843.2304289,0,,,,1500000,,,1,0,,1640000,,1
2.3477162020001288,1843.2506604,0,,,,1500000,,,1,0,,1640000,,1
2.3679307950001203,1843.270874993,0,,,,1500000,,,1,0,,1640000,,1
2.3881449620000694,1843.29108916,0,,,,1500000,,,1,0,,1640000,,1
2.4083881840001595,1843.311332382,0,,,,1500000,,,1,0,,1640000,,1
2.4286272950000694,1843.331571493,0,,,,1500000,,,1,0,,1640000,,1
2.448847239000088,1843.351791437,0,,,,1500000,,,1,0,,1640000,,1
2.4691839240001627,1843.372128122,0,,,,1500000,,,1,0,,1640000,,1
2.4894513690001077,1843.392395567,0,,,,1500000,,,1,0,,1640000,,1
2.50968962800016,1843.412633826,0,,,,1500000,,,1,0,,1640000,,1
2.5299300910000966,1843.432874289,0,,,,1500000,,,1,0,,1640000,,1
2.550161795000122,1843.453105993,0,,,,1500000,,,1,0,,1640000,,1
2.570380202000024,1843.4733244,0,,,,1500000,,,1,0,,1640000,,1
2.5906012390000797,1843.493545437,0,,,,1500000,,,1,0,,1640000,,1
2.610824184000194,1843.513768382,0,,,,1500000,,,1,0,,1640000,,1
2.6311486470001455,1843.534092845,0,,,,1500000,,,1,0,,1640000,,1
2.651363887000116,1843.554308085,0,,,,1500000,,,1,0,,1640000,,1
2.671581461000187,1843.574525659,0,,,,1500000,,,1,0,,1640000,,1
2.6917997760001526,1843.594743974,0,,,,1500000,,,1,0,,1640000,,1
2.712011554000128,1843.614955752,0,,,,1500000,,,1,0,,1640000,,1
2.7322445170000265,1843.635188715,0,,,,1500000,,,1,0,,1640000,,1
2.7524705910000193,1843.655414789,0,,,,1500000,,,1,0,,1640000,,1
2.7727114800002255,1843.675655678,0,,,,1500000,,,1,0,,1640000,,1
2.7929751470001065,1843.695919345,0,,,,1500000,,,1,0,,1640000,,1
2.8132532210001955,1843.716197419,0,,,,1500000,,,1,0,,1640000,,1
2.8334926650002217,1843.736436863,0,,,,1500000,,,1,0,,1640000,,1
2.853715258000193,1843.756659456,0,,,,1500000,,,1,0,,1640000,,1
2.873932554000021,1843.776876752,0,,,,1500000,,,1,0,,1640000,,1
2.8941577020000295,1843.7971019,0,,,,1500000,,,1,0,,1640000,,1
2.9143667210000785,1843.817310919,0,,,,1500000,,,1,0,,1640000,,1
2.9345737950000057,1843.837517993,0,,,,1500000,,,1,0,,1640000,,1
2.9547797950001495,1843.857723993,0,,,,1500000,,,1,0,,1640000,,1
2.9750740720000977,1843.87801827,0,,,,1500000,,,1,0,,1640000,,1
2.995414535000009,1843.898358733,0,,,,1500000,,,1,0,,1640000,,1
3.0157074610001473,1843.918651659,0,,,,1500000,,,1,0,,1640000,,1
3.035973591000129,1843.938917789,0,,,,1500000,,,1,0,,1640000,,1
3.056224572000019,1843.95916877,0,,,,1500000,,,1,0,,1640000,,1
3.0765426650000336,1843.979486863,0,,,,1500000,,,1,0,,1640000,,1
3.0970699240001522,1844.000014122,0,,,,1500000,,,1,0,,1640000,,1
3.117392202000019,1844.0203364,0,,,,1500000,,,1,0,,1640000,,1
3.1377153500000077,1844.040659548,0,,,,1500000,,,1,0,,1640000,,1
3.158001628000193,1844.060945826,0,,,,1500000,,,1,0,,1640000,,1
3.1782822390000547,1844.081226437,0,,,,1500000,,,1,0,,1640000,,1
3.1991094240001985,1844.102053622,0,,,,1500000,,,1,0,,1640000,,1
