x_m,y_m,hit_count
-7.827951237,-0.714421210,1
-7.813332924,-0.662078165,5
-7.804737149,-0.627452830,3
-7.829740181,-0.530026709,3
-7.834915676,-0.503235361,2
-7.814504722,-0.427378710,2
-7.822695226,-0.374528710,2
-7.839018412,0.130692232,1
-7.821723755,0.299844949,6
-7.818337613,0.416717021,8
-7.825682368,0.672180959,1
-7.804214871,0.928592364,1
-7.794219315,-1.467872008,2
-7.792327070,-1.017839431,1
-7.780494308,-0.961635511,1
-7.775921125,-0.902902857,1
-7.791569651,-0.663964154,2
-7.788811924,-0.620741151,7
-7.783456796,-0.407842547,3
-7.769111568,-0.372468267,3
-7.786457907,-0.340535338,1
-7.779335854,0.268018138,8
-7.781717710,0.285602955,2
-7.779778157,0.393154094,3
-7.775184238,0.424617760,2
-7.755561348,-0.891105847,1
-7.741892475,-0.862518542,2
-7.722643347,-0.782524111,1
-7.745524144,-0.597459399,1
-7.743368541,-0.542492465,2
-7.741660636,-0.347250401,2
-7.734516140,-0.303033061,4
-7.739840204,-0.193596240,1
-7.744808911,-0.096810438,1
-7.739183161,0.197088326,2
-7.753788048,0.226569642,1
-7.739233850,0.265512228,2
-7.742559065,0.291451924,2
-7.754988208,0.791394090,1
-7.726090975,0.911408977,1
-7.700643994,-1.019922496,1
-7.719962655,-0.826436405,1
-7.693101378,-0.734210503,1
-7.692731320,-0.718377270,1
-7.688046830,-0.545013269,1
-7.696761513,-0.484480631,2
-7.690052488,-0.451729584,1
-7.709133566,-0.326180028,1
-7.714419976,-0.289658890,7
-7.709955708,-0.269316591,2
-7.695241141,-0.234381155,1
-7.693669907,-0.160228327,1
-7.699193179,-0.137963307,2
-7.694545019,-0.113842871,2
-7.690203322,-0.062051753,3
-7.691655719,-0.015066984,1
-7.690248394,0.094417322,2
-7.697321251,0.188273880,5
-7.699452847,0.260150250,5
-7.691679028,0.385296316,1
-7.706479010,0.518014702,1
-7.688107797,0.642208594,1
-7.697886130,0.773988047,1
-7.674254982,-0.972193272,1
-7.655038472,-0.935639044,1
-7.643435972,-0.903437024,1
-7.662424486,-0.766114891,1
-7.661815986,-0.694034649,2
-7.671559248,-0.678846668,1
-7.645034440,-0.619695648,4
-7.675267341,-0.457489985,1
-7.653621966,-0.386808073,4
-7.678936733,-0.242164429,1
-7.678948339,-0.204080149,1
-7.643671081,-0.145279835,2
-7.669004894,-0.055899625,1
-7.669273824,-0.031059626,1
-7.647832620,0.021272517,7
-7.658286235,0.189556577,4
-7.659821188,0.237920911,1
-7.663910693,0.250109790,2
-7.619789553,-0.842924169,2
-7.612888722,-0.836742706,2
-7.604671410,-0.666359080,1
-7.618617992,-0.600878724,1
-7.631784124,-0.527893755,1
-7.625466120,-0.447392034,1
-7.615290703,-0.372091025,2
-7.638945150,-0.297618015,1
-7.635626304,-0.225097293,1
-7.627017344,-0.132223484,3
-7.626012771,-0.023934806,2
-7.629143901,0.029089550,6
-7.625194651,0.059870766,1
-7.629211996,0.146491237,2
-7.618289728,0.182338934,6
-7.625341782,0.247917844,4
-7.618120209,0.758881886,1
-7.634796228,0.892805998,1
-7.632219271,1.213731185,1
-7.568959548,-0.582012716,3
-7.592643788,-0.374829622,3
-7.578485234,-0.131308056,5
-7.599709869,-0.074901748,1
-7.598734156,-0.031344802,1
-7.591498421,0.019642005,1
-7.570501911,0.043177843,1
-7.576323303,0.102834312,4
-7.591603507,0.157895199,1
-7.587987360,0.199197047,1
-7.582670687,0.224197112,2
-7.576410579,0.256458686,3
-7.566473688,0.367336855,1
-7.595445970,0.415553243,1
-7.586868317,0.623253547,1
-7.567991171,0.878389858,1
-7.590078210,1.014149341,1
-7.583556098,1.221590306,1
-7.549883555,-0.572749161,1
-7.521384430,-0.556393205,1
-7.534092223,-0.340657208,2
-7.549874381,-0.125010814,1
-7.523019357,-0.110100575,1
-7.546984140,0.052847076,1
-7.548068122,0.104790639,4
-7.539648263,0.139591347,4
-7.555506381,0.235561843,2
-7.526587658,0.298256866,2
-7.549860050,0.363212260,1
-7.538122988,0.437100192,1
-7.527588909,0.469141354,2
-7.545280521,0.491579720,2
-7.534930634,0.612670135,1
-7.538692389,0.743693129,1
-7.501215764,-0.545633906,1
-7.496719193,-0.311294878,2
-7.507307468,-0.098241109,2
-7.495496889,0.088132003,4
-7.495390437,0.133960238,6
-7.502465389,0.176133912,2
-7.505949024,0.308131199,1
-7.488040710,0.339726774,1
-7.487727748,0.379638624,2
-7.505030408,0.497262321,3
-7.496021287,0.544087546,1
-7.516914560,0.584267449,1
-7.491075505,0.643446634,1
-7.490570346,0.733114355,1
-7.507846413,0.866517759,1
-7.505223565,0.997915599,1
-7.477688018,-0.524832258,1
-7.464961381,-0.512951459,2
-7.456584489,-0.280995831,1
-7.462867963,-0.067087033,2
-7.452508005,0.031438018,5
-7.476898221,0.057597959,1
-7.458707975,0.134906678,5
-7.447863510,0.161088089,1
-7.455148348,0.229643287,3
-7.444054836,0.259003129,2
-7.464933407,0.293299294,2
-7.470656566,0.409114305,2
-7.478818075,0.477024785,1
-7.476245520,0.550681697,1
-7.445815456,0.588638941,2
-7.474472321,0.632594014,1
-7.459654573,0.978119810,1
-7.416560369,-0.470135024,1
-7.424574462,-0.255574581,2
-7.403791848,-0.021894105,1
-7.418885472,0.032156354,4
-7.422348301,0.108983629,3
-7.425595535,0.122686501,1
-7.412305383,0.189962173,1
-7.425266165,0.228080814,7
-7.426615454,0.256577057,4
-7.401523041,0.332681435,1
