x_m,y_m,hit_count
-6.621165210,0.874735454,1
-6.617102780,0.916408652,1
-6.621405371,0.922095828,1
-6.628036300,1.022500752,1
-6.614162747,1.046200423,1
-6.601931690,1.094561478,1
-6.632519556,1.179853310,1
-6.611733535,1.208240273,1
-6.612164812,1.311686931,1
-6.608219561,1.341084411,2
-6.630845692,1.638715760,1
-6.617305751,1.704426827,3
-6.619141531,1.736434698,3
-6.601319699,1.775121014,2
-6.576712180,-0.176179361,1
-6.580661673,-0.066956391,1
-6.582407559,0.048594412,4
-6.573916164,0.140173721,2
-6.595236399,0.283351775,1
-6.597864818,0.357366094,1
-6.573920552,0.401550774,1
-6.570730562,0.450498562,1
-6.575824806,0.573586621,2
-6.593700448,0.606517036,1
-6.595802911,0.676855927,1
-6.592007019,0.694212836,1
-6.590398722,0.782597686,1
-6.570775712,1.280358927,1
-6.597500865,1.365508223,1
-6.578749251,1.549711922,2
-6.573938100,1.651916461,2
-6.588472982,1.785247831,1
-6.579741264,1.809185719,2
-6.523427672,-0.283214418,1
-6.533700605,-0.270320104,7
-6.526027348,0.046833961,1
-6.538037083,0.350814450,1
-6.553166302,0.451002032,1
-6.538159031,0.557524881,1
-6.536703131,0.575568573,62
-6.529066033,0.621384872,8
-6.534999279,0.653173533,7
-6.550191146,1.029095870,1
-6.532855961,1.205144467,1
-6.557111715,1.447818325,1
-6.534777412,1.566842379,1
-6.530719213,1.652049100,1
-6.489599398,-0.286799099,3
-6.505347860,-0.254952243,7
-6.480584541,-0.180373245,1
-6.516154185,-0.070003069,1
-6.497068897,0.043445185,1
-6.498282420,0.134176940,2
-6.512000900,0.242184862,1
-6.493667176,0.340026207,1
-6.512412415,0.443812729,1
-6.498576052,0.551941650,1
-6.513678291,0.574993026,10
-6.507348643,0.615961047,2
-6.502572985,0.792651065,1
-6.487606896,0.818579244,2
-6.493975993,0.973818059,4
-6.491870337,1.135866529,3
-6.515621288,1.375253977,1
-6.506486453,1.421528737,1
-6.480310504,1.570114041,1
-6.487704212,1.649141376,1
-6.492932264,1.786980659,1
-6.500385907,1.873628905,1
-6.493247938,1.905210394,2
-6.455318489,-0.294355616,4
-6.470599174,-0.257324235,2
-6.454323807,-0.070277387,1
-6.444634843,0.034377401,1
-6.444518668,0.052936196,1
-6.463683590,0.235918764,1
-6.473768763,0.437972336,1
-6.449693658,0.454256587,49
-6.446259106,0.502482055,6
-6.460430267,0.535766346,4
-6.469678048,0.649831465,1
-6.459856898,0.834406515,1
-6.457114035,0.976598159,2
-6.477569738,1.138138979,1
-6.458068198,1.160857899,1
-6.476366804,1.211028607,1
-6.463357316,1.308658140,2
-6.464646985,1.334377508,1
-6.466227390,1.373394721,1
-6.455631716,1.498150496,3
-6.476743831,1.557318152,1
-6.477641853,1.615591774,1
-6.479749429,1.781639513,1
-6.466261490,1.908945299,1
-6.410738763,-0.296053265,1
-6.423676726,-0.182477071,1
-6.403197774,0.124996844,1
-6.408378228,0.230776527,1
-6.425849287,0.328972027,1
-6.426506348,0.432521527,1
