stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps,planner_state,tracker_state,path_age_s,path_deviation_m,fusion_confidence,desired_speed_pct,applied_speed_pct,desired_steering_deg,applied_steering_deg,bridge_state
1775180271,441676621,0.9675587714166816,-0.11146185498220262,-0.02225432032749653,-3.071591217492414e-17,-3.283872296166537e-18,0.0,tracking,tracking,0.0,0.11184444715145718,high,16.0,16.0,-30.093551425509887,-30.093551425509887,tracking
1775180271,519632975,0.9944876073376698,-0.11490751640315411,-0.0324800093956117,-3.0706380996904636e-17,-3.2828533073352817e-18,0.0,tracking,tracking,0.0,0.11431917239297414,high,16.0,16.0,-29.94438111568834,-29.94438111568834,tracking
1775180271,571401282,1.0120026222690777,-0.12127464820103567,-0.05311633665126381,-3.070455381600616e-17,-3.282657961395418e-18,0.0,tracking,tracking,0.0,0.11791058982211527,high,16.0,16.0,-29.654886704851204,-29.654886704851204,tracking
1775180271,647571366,1.045791830706988,-0.12468519147670074,-0.06418785638028293,-3.071814125577949e-17,-3.2841106096773038e-18,0.0,tracking,tracking,0.0,0.11342904617201054,high,16.0,16.0,-29.31948734033866,-29.31948734033866,tracking
1775180271,724286220,1.0700119727717365,-0.12864559831212716,-0.0827690212112012,-3.0770567768151116e-17,-3.289715586361095e-18,0.0,tracking,tracking,0.0,0.11530442560238678,high,16.243866156162834,16.019875507087782,-24.3348021237698,-25.544912860283656,tracking
1775180271,800431750,1.1001461331183189,-0.13291592789395631,-0.08631636192149307,-3.077020579153807e-17,-3.2896768870392356e-18,0.0,tracking,tracking,0.0,0.1171142959051399,high,16.658507361358563,16.136372168684165,-18.225093998730497,-20.121209488622203,tracking
1775180271,877507802,1.1234576050817435,-0.135930745587632,-0.10363664467328586,-3.0756811435136497e-17,-3.2882448815151408e-18,0.0,tracking,tracking,0.0,0.012928771242462576,high,17.068307853609078,16.35647086600034,-14.40534813940833,-14.687207321966051,tracking
1775180271,954122546,1.1483067836093117,-0.14883437853901305,-0.12782486641248172,-3.075804200338793e-17,-3.2883764429340695e-18,0.0,tracking,tracking,0.0,0.007878820839517478,high,16.00793265376545,16.295785603746708,-9.248160859173279,-12.838502958746238,tracking
1775180272,30838900,1.1681551998488713,-0.15393600096491702,-0.146376609778514,-3.078594121508008e-17,-3.2913591786522534e-18,0.0,tracking,tracking,0.0,0.019264164279425854,high,16.0,16.218939197428114,-1.7669548042116772,-7.418590408742436,tracking
1775180272,106395253,1.198275279246134,-0.1584642128707629,-0.1548623491001098,-3.0834218341195514e-17,-3.296520539841404e-18,0.0,tracking,tracking,0.0,0.012172232862481534,high,16.0,16.14886323136703,6.787434114201025,-1.998322698748046,tracking
1775180272,183212310,1.2197077608991018,-0.16552334386423426,-0.1731151678719172,-3.090668252245648e-17,-3.304267765968113e-18,0.0,tracking,tracking,0.0,0.12587231069957908,high,16.0,16.099818123324155,14.583606459153454,3.5080586795909445,tracking
1775180272,237230230,1.2577207562954222,-0.1713111122756668,-0.17799373027242776,-3.0946643659030843e-17,-3.3085400554763183e-18,0.0,tracking,tracking,0.0,0.13593037930001986,high,16.0,16.065421547179707,23.44586160476159,8.948283946254882,tracking
1775180272,313251280,1.2722142592013534,-0.18003975397039634,-0.2000389869765372,-3.098391524849912e-17,-3.3125248025153103e-18,0.0,tracking,tracking,0.0,0.1493474784112942,high,16.0,16.037669228218554,29.36056573478213,15.451213344584076,tracking
1775180272,390430405,1.2935259262517702,-0.1898456371488719,-0.20604139158035129,-3.1056315846693873e-17,-3.3202652309057697e-18,0.0,tracking,tracking,0.0,0.3246443319121216,high,16.0,16.019522944042812,36.08769359415045,21.955358437922172,tracking
1775180272,467544012,1.317868540583886,-0.19674247816492965,-0.21991568865913277,-3.110465040105975e-17,-3.3254327318129777e-18,0.0,tracking,tracking,0.0,0.34149090336887067,high,16.0,16.009335710977403,39.27236948455361,27.376204344586206,tracking
1775180272,543734689,1.3420040082829758,-0.19978761930252736,-0.1999117607308685,-3.113800211549199e-17,-3.3289984006568647e-18,0.0,tracking,tracking,0.0,0.3370125057401545,high,16.0,16.0,43.73546924372596,37.25399404125465,tracking
1775180272,619103767,1.3755694110762253,-0.19621146565808223,-0.16226495319588827,-3.1183160214635814e-17,-3.3338263032072246e-18,0.0,tracking,tracking,0.0,0.3518623044426481,high,16.0,16.0,45.063426973910225,43.75893638125143,tracking
1775180272,695421294,1.4035614524117204,-0.19326570295337323,-0.12190748648163441,-3.12636839676896e-17,-3.3424351871085317e-18,0.0,tracking,tracking,0.0,0.36616203181169527,high,16.0,16.0,45.61374994671649,45.61374994671649,tracking
1775180272,773197631,1.431263492782707,-0.18622542972867018,-0.08903472353834703,-3.1317675314023545e-17,-3.3482074619297736e-18,0.0,tracking,tracking,0.0,0.3784980209621268,high,16.0,16.0,45.53602664718455,45.53602664718455,tracking
1775180272,850536328,1.456000550824035,-0.1845951257078875,-0.026482771338031976,-3.134790940790703e-17,-3.3514398224970995e-18,0.0,tracking,tracking,0.0,0.38507176883495176,high,16.0,16.0,45.227092007390596,45.227092007390596,tracking
1775180272,902712128,1.4793354004692054,-0.17321965503537423,0.011507522011654742,-3.137472154520107e-17,-3.3543063378836354e-18,0.0,tracking,holding_last_path,0.0,0.39933707037096317,high,16.0,16.0,44.72234233397224,44.72234233397224,tracking
1775180272,978801473,1.5127176568389522,-0.16517533628786457,0.05982981022370114,-3.140462835906936e-17,-3.3575037085809273e-18,0.0,tracking,holding_last_path,0.0,0.3996314720999894,high,16.0,16.0,43.885222604878955,43.885222604878955,tracking
